Index,dt,customer_type,trigger_type,n_triggered
3554,07/08/22,2,scheduled,1385
3555,07/08/22,3,scheduled,36
3648,08/08/22,1,scheduled,6536
3649,08/08/22,0,scheduled,7596
3650,08/08/22,2,scheduled,1376
3651,08/08/22,3,scheduled,38
3744,09/08/22,1,scheduled,7010
3745,09/08/22,0,scheduled,7878
3746,09/08/22,2,scheduled,1485
3747,09/08/22,3,scheduled,39
3840,10/08/22,1,scheduled,6694
3841,10/08/22,0,scheduled,7864
3842,10/08/22,2,scheduled,1606
3843,10/08/22,3,scheduled,40
3936,11/08/22,1,scheduled,7045
3937,11/08/22,0,scheduled,8102
3938,11/08/22,2,scheduled,1523
3939,11/08/22,3,scheduled,39
4032,12/08/22,1,scheduled,6981
4033,12/08/22,0,scheduled,7762
4034,12/08/22,2,scheduled,1472
4035,12/08/22,3,scheduled,40
4128,13/08/22,1,scheduled,6757
4129,13/08/22,0,scheduled,7498
4130,13/08/22,2,scheduled,1648
4131,13/08/22,3,scheduled,41
4224,14/08/22,1,scheduled,6594
4225,14/08/22,0,scheduled,7334
4226,14/08/22,2,scheduled,1464
4227,14/08/22,3,scheduled,38
4320,15/08/22,1,scheduled,6715
4321,15/08/22,0,scheduled,7550
4322,15/08/22,2,scheduled,1547
4323,15/08/22,3,scheduled,40
4416,16/08/22,1,scheduled,7112
4417,16/08/22,0,scheduled,7880
4418,16/08/22,2,scheduled,1446
4419,16/08/22,3,scheduled,37
4512,17/08/22,1,scheduled,8020
4513,17/08/22,0,scheduled,7667
4514,17/08/22,2,scheduled,1413
4515,17/08/22,3,scheduled,43
4608,18/08/22,1,scheduled,7731
4609,18/08/22,0,scheduled,8043
4610,18/08/22,2,scheduled,1525
4611,18/08/22,3,scheduled,44
4704,19/08/22,1,scheduled,7518
4705,19/08/22,0,scheduled,7592
4706,19/08/22,2,scheduled,1392
4707,19/08/22,3,scheduled,41
4800,20/08/22,1,scheduled,7241
4801,20/08/22,0,scheduled,7581
4802,20/08/22,2,scheduled,1376
4803,20/08/22,3,scheduled,41
4896,21/08/22,1,scheduled,7363
4897,21/08/22,0,scheduled,6629
4898,21/08/22,2,scheduled,1339
4899,21/08/22,3,scheduled,45
4992,22/08/22,1,scheduled,6318
4993,22/08/22,0,scheduled,6925
4994,22/08/22,2,scheduled,1350
4995,22/08/22,3,scheduled,40
5088,23/08/22,1,scheduled,7107
5089,23/08/22,0,scheduled,7333
5090,23/08/22,2,scheduled,1357
5091,23/08/22,3,scheduled,39
5184,24/08/22,1,scheduled,7628
5185,24/08/22,0,scheduled,7580
5186,24/08/22,2,scheduled,1361
5187,24/08/22,3,scheduled,42
5280,25/08/22,1,scheduled,7035
5281,25/08/22,0,scheduled,7616
5282,25/08/22,2,scheduled,1339
5283,25/08/22,3,scheduled,40
5376,26/08/22,1,scheduled,7185
5377,26/08/22,0,scheduled,7927
5378,26/08/22,2,scheduled,1497
5379,26/08/22,3,scheduled,36
5472,27/08/22,1,scheduled,7015
5473,27/08/22,0,scheduled,7609
5474,27/08/22,2,scheduled,1403
5475,27/08/22,3,scheduled,37
5568,28/08/22,1,scheduled,6867
5569,28/08/22,0,scheduled,6539
5570,28/08/22,2,scheduled,1377
5571,28/08/22,3,scheduled,37
5664,29/08/22,1,scheduled,6211
5665,29/08/22,0,scheduled,6330
5666,29/08/22,2,scheduled,1256
5667,29/08/22,3,scheduled,35
5760,30/08/22,1,scheduled,6551
5761,30/08/22,0,scheduled,7147
5762,30/08/22,2,scheduled,1357
5763,30/08/22,3,scheduled,42
5856,31/08/22,1,scheduled,6780
5857,31/08/22,0,scheduled,7375
5858,31/08/22,2,scheduled,1488
5859,31/08/22,3,scheduled,42
5952,01/09/22,1,scheduled,7227
5953,01/09/22,0,scheduled,8730
5954,01/09/22,2,scheduled,1601
5955,01/09/22,3,scheduled,43
6048,02/09/22,1,scheduled,7679
6049,02/09/22,0,scheduled,9023
6050,02/09/22,2,scheduled,1717
6051,02/09/22,3,scheduled,40
6144,03/09/22,1,scheduled,7632
6145,03/09/22,0,scheduled,8752
6146,03/09/22,2,scheduled,1756
6147,03/09/22,3,scheduled,42
6240,04/09/22,1,scheduled,6819
6241,04/09/22,0,scheduled,8887
6242,04/09/22,2,scheduled,1912
6243,04/09/22,3,scheduled,39
6336,05/09/22,1,scheduled,7593
6337,05/09/22,0,scheduled,8656
6338,05/09/22,2,scheduled,1782
6339,05/09/22,3,scheduled,44
6432,06/09/22,1,scheduled,8050
6433,06/09/22,0,scheduled,9069
6434,06/09/22,2,scheduled,1718
6435,06/09/22,3,scheduled,40
6528,07/09/22,1,scheduled,8520
6529,07/09/22,0,scheduled,9372
6530,07/09/22,2,scheduled,1823
6531,07/09/22,3,scheduled,43
6624,08/09/22,1,scheduled,8111
6625,08/09/22,0,scheduled,9038
6626,08/09/22,2,scheduled,1754
6627,08/09/22,3,scheduled,44
6720,09/09/22,1,scheduled,8863
6721,09/09/22,0,scheduled,8879
6722,09/09/22,2,scheduled,1843
6723,09/09/22,3,scheduled,37
6816,10/09/22,1,scheduled,7614
6817,10/09/22,0,scheduled,7899
6818,10/09/22,2,scheduled,1470
6819,10/09/22,3,scheduled,38
6912,11/09/22,1,scheduled,7329
6913,11/09/22,0,scheduled,6909
6914,11/09/22,2,scheduled,1415
6915,11/09/22,3,scheduled,29
7008,12/09/22,1,scheduled,6597
7009,12/09/22,0,scheduled,7230
7010,12/09/22,2,scheduled,1586
7011,12/09/22,3,scheduled,32
7104,13/09/22,1,scheduled,6480
7105,13/09/22,0,scheduled,7205
7106,13/09/22,2,scheduled,1534
7107,13/09/22,3,scheduled,29
7200,14/09/22,1,scheduled,5938
7201,14/09/22,0,scheduled,7074
7202,14/09/22,2,scheduled,1352
7203,14/09/22,3,scheduled,32
7296,15/09/22,1,scheduled,5993
7297,15/09/22,0,scheduled,6406
7298,15/09/22,2,scheduled,1238
7299,15/09/22,3,scheduled,28
7392,16/09/22,1,scheduled,6148
7393,16/09/22,0,scheduled,6170
7394,16/09/22,2,scheduled,1184
7395,16/09/22,3,scheduled,27
7488,17/09/22,1,scheduled,6062
7489,17/09/22,0,scheduled,6526
7490,17/09/22,2,scheduled,1220
7491,17/09/22,3,scheduled,27
7584,18/09/22,1,scheduled,5763
7585,18/09/22,0,scheduled,5909
7586,18/09/22,2,scheduled,1186
7587,18/09/22,3,scheduled,24
7680,19/09/22,1,scheduled,5148
7681,19/09/22,0,scheduled,5520
7682,19/09/22,2,scheduled,1176
7683,19/09/22,3,scheduled,26
7776,20/09/22,1,scheduled,5408
7777,20/09/22,0,scheduled,6203
7778,20/09/22,2,scheduled,1164
7779,20/09/22,3,scheduled,28
7872,21/09/22,1,scheduled,5392
7873,21/09/22,0,scheduled,6063
7874,21/09/22,2,scheduled,1288
7875,21/09/22,3,scheduled,29
7968,22/09/22,1,scheduled,5904
7969,22/09/22,0,scheduled,5856
7970,22/09/22,2,scheduled,1196
7971,22/09/22,3,scheduled,27
8064,23/09/22,1,scheduled,5766
8065,23/09/22,0,scheduled,6429
8066,23/09/22,2,scheduled,1325
8067,23/09/22,3,scheduled,24
8160,24/09/22,1,scheduled,5996
8161,24/09/22,0,scheduled,6826
8162,24/09/22,2,scheduled,1375
8163,24/09/22,3,scheduled,25
8256,25/09/22,1,scheduled,5829
8257,25/09/22,0,scheduled,6596
8258,25/09/22,2,scheduled,1406
8259,25/09/22,3,scheduled,30
8352,26/09/22,1,scheduled,5740
8353,26/09/22,0,scheduled,6742
8354,26/09/22,2,scheduled,1348
8355,26/09/22,3,scheduled,27
8448,27/09/22,1,scheduled,5760
8449,27/09/22,0,scheduled,6781
8450,27/09/22,2,scheduled,1373
8451,27/09/22,3,scheduled,28
8544,28/09/22,1,scheduled,6105
8545,28/09/22,0,scheduled,7180
8546,28/09/22,2,scheduled,1496
8547,28/09/22,3,scheduled,30
8640,29/09/22,1,scheduled,5766
8641,29/09/22,0,scheduled,7340
8642,29/09/22,2,scheduled,1423
8643,29/09/22,3,scheduled,33
8736,30/09/22,1,scheduled,6127
8737,30/09/22,0,scheduled,6829
8738,30/09/22,2,scheduled,1305
8739,30/09/22,3,scheduled,29
8832,01/10/22,1,scheduled,6225
8833,01/10/22,0,scheduled,5937
8834,01/10/22,2,scheduled,1259
8835,01/10/22,3,scheduled,27
8928,02/10/22,1,scheduled,5617
8929,02/10/22,0,scheduled,5711
8930,02/10/22,2,scheduled,1188
8931,02/10/22,3,scheduled,27
9024,03/10/22,1,scheduled,5241
9025,03/10/22,0,scheduled,5629
9026,03/10/22,2,scheduled,1170
9027,03/10/22,3,scheduled,26
9120,04/10/22,1,scheduled,5963
9121,04/10/22,0,scheduled,6070
9122,04/10/22,2,scheduled,1190
9123,04/10/22,3,scheduled,28
9216,05/10/22,1,scheduled,5733
9217,05/10/22,0,scheduled,6402
9218,05/10/22,2,scheduled,1201
9219,05/10/22,3,scheduled,27
9312,06/10/22,1,scheduled,5697
9313,06/10/22,0,scheduled,6418
9314,06/10/22,2,scheduled,1210
9315,06/10/22,3,scheduled,27
9408,07/10/22,1,scheduled,6043
9409,07/10/22,0,scheduled,6133
9410,07/10/22,2,scheduled,1243
9411,07/10/22,3,scheduled,26
9504,08/10/22,1,scheduled,6109
9505,08/10/22,0,scheduled,6000
9506,08/10/22,2,scheduled,1285
9507,08/10/22,3,scheduled,26
9600,09/10/22,1,scheduled,5478
9601,09/10/22,0,scheduled,6323
9602,09/10/22,2,scheduled,1352
9603,09/10/22,3,scheduled,26
9696,10/10/22,1,scheduled,5466
9697,10/10/22,0,scheduled,5932
9698,10/10/22,2,scheduled,1198
9699,10/10/22,3,scheduled,25
9792,11/10/22,1,scheduled,5991
9793,11/10/22,0,scheduled,6417
9794,11/10/22,2,scheduled,1252
9795,11/10/22,3,scheduled,26
9888,12/10/22,1,scheduled,5745
9889,12/10/22,0,scheduled,6097
9890,12/10/22,2,scheduled,1280
9891,12/10/22,3,scheduled,22
9984,13/10/22,1,scheduled,5940
9985,13/10/22,0,scheduled,5690
9986,13/10/22,2,scheduled,1327
9987,13/10/22,3,scheduled,25
10080,14/10/22,1,scheduled,5896
10081,14/10/22,0,scheduled,5887
10082,14/10/22,2,scheduled,1174
10083,14/10/22,3,scheduled,26
10176,15/10/22,1,scheduled,5685
10177,15/10/22,0,scheduled,5630
10178,15/10/22,2,scheduled,1155
10179,15/10/22,3,scheduled,23
10272,16/10/22,1,scheduled,5402
10273,16/10/22,0,scheduled,5532
10274,16/10/22,2,scheduled,1123
10275,16/10/22,3,scheduled,23
10368,17/10/22,1,scheduled,5112
10369,17/10/22,0,scheduled,5490
10370,17/10/22,2,scheduled,1047
10371,17/10/22,3,scheduled,24
10464,18/10/22,1,scheduled,5727
10465,18/10/22,0,scheduled,5602
10466,18/10/22,2,scheduled,1135
10467,18/10/22,3,scheduled,24
10560,19/10/22,1,scheduled,5902
